id;nome;sobrenome;email;idade;data de nascimento;cidade;estado;hobbies;linguagens de programação;jogos;ano nascimento
564b56e9;Júlia;;;35.0;1989-01-01;Fortaleza;CE;[];[];[];1989
c7cde82c;Fernando;;;29.0;1995-01-01;Fortaleza;CE;[];[];[];1995
c8f61557;Gabriela;;;27.0;1997-01-01;Fortaleza;CE;[];[];[];1997
a7d3a358;Matheus;Costa Ribeiro;matheus4@webmail.net;36.0;1988-09-22;Fortaleza;CE;['leitura', 'cozinhar', 'música', 'cinema', 'pintura'];['Go', 'PHP', 'Ruby', 'Java', 'Python'];[('Overwatch', 'PC')];1988
e36265d7;Guilherme;Rocha;guilherme1@inbox.org;31.0;1993-05-14;Fortaleza;CE;['pintura'];['JavaScript', 'C++'];[('Cyberpunk 2077', 'PC'), ('The Witcher 3', 'Xbox One'), ('Minecraft', 'PC'), ('Valorant', 'PC'), ('Fortnite', 'PlayStation 4')];2024
14a5e91a;Matheus;Silva;matheusz1@inbox.org;19.0;2004-12-23;Fortaleza;CE;['pintura', 'leitura', 'futebol'];['Python'];[];2005
b07dcc18;João;Rodrigues Araújo;joãon@webmail.net;24.0;2000-01-17;Fortaleza;CE;['pintura', 'música', 'cinema', 'cozinhar', 'viagem'];['JavaScript', 'Go', 'Kotlin'];[('Valorant', 'PC')];2000
13b9a570;Camila;Silva Carvalho;camilar@inbox.org;40.0;1984-11-21;Fortaleza;CE;['pintura', 'música', 'cozinhar', 'fotografia', 'natação'];['Swift', 'PHP', 'Python'];[('Overwatch', 'PC'), ('GTA V', 'PlayStation 4'), ('Apex Legends', 'PC')];2024
cc8a0b52;Mariana;Araújo;marianafyu@mailservice.com;37.0;1987-04-21;Fortaleza;CE;['natação'];['Swift', 'Ruby', 'C++'];[('GTA V', 'PlayStation 4'), ('Cyberpunk 2077', 'PC')];1987
869236b7;Julia;Martins;juliaxmw@inbox.org;44.0;1980-02-20;Fortaleza;CE;['cinema', 'música', 'cozinhar'];['Java'];[('The Witcher 3', 'Xbox One'), ('Valorant', 'PC'), ('Apex Legends', 'PC')];1980
0a5e1000;Carla;Souza;carlafa8@webmail.net;20.0;2004-03-04;Fortaleza;CE;[];['Go', 'C++', 'Kotlin', 'Java', 'Python'];[('Minecraft', 'PC')];2004
