id;nome;sobrenome;email;idade;data de nascimento;cidade;estado;hobbies;linguagens de programação;jogos;ano nascimento
03876130;Vinícius;;;32.0;1992-01-01;Rio de Janeiro;RJ;[];[];[];1992
5d8a7177;João;;;25.0;1999-01-01;Rio de Janeiro;RJ;[];[];[];1999
dd9b65f5;Mateus;;;32.0;1992-01-01;Rio de Janeiro;RJ;[];[];[];1992
76dff810;Jorge;;;22.0;2002-01-01;Rio de Janeiro;RJ;[];[];[];2002
5edf9d3e;Camila;;;28.0;1996-01-01;Niterói;RJ;[];[];[];1996
faaff1be;Daniel;;;25.0;1999-01-01;Rio de Janeiro;RJ;[];[];[];1999
3f27c71e;Larissa;Moraes Barbosa;larissakx@webmail.net;20.0;2004-09-04;Petropolis;RJ;['leitura', 'fotografia', 'ciclismo'];['C#', 'C++', 'Ruby', 'JavaScript'];[('GTA V', 'PlayStation 4'), ('Cyberpunk 2077', 'PC'), ('Valorant', 'PC')];2004
ecaf8829;Beatriz;Souza Carvalho Moraes;beatriz13@fastmail.com;47.0;1977-03-20;Volta Redonda;RJ;[];['JavaScript', 'Swift', 'Go', 'Java'];[('Apex Legends', 'PC')];1977
a7e8504f;Luís;Oliveira;luís8@inbox.org;38.0;1986-07-21;Rio de Janeiro;RJ;['leitura'];['C++', 'Java', 'C#', 'Ruby'];[('The Witcher 3', 'Xbox One'), ('GTA V', 'PlayStation 4')];1986
e8155af8;Ana;Barbosa Araújo;anazq@randommail.com;41.0;1982-11-06;Rio de Janeiro;RJ;[];['Python', 'Kotlin', 'Swift', 'C++', 'PHP'];[('Apex Legends', 'PC'), ('The Witcher 3', 'Xbox One'), ('Minecraft', 'PC')];1983
e34f880c;João;Araújo Silva;joãow@inbox.org;44.0;1980-04-11;Volta Redonda;RJ;['viagem', 'pintura', 'natação', 'futebol'];['Ruby', 'Swift', 'PHP', 'Python', 'Kotlin'];[('The Witcher 3', 'Xbox One'), ('Valorant', 'PC')];1980
c85033d0;Pedro;Ribeiro;pedroi@freemail.com;48.0;1976-04-19;Rio de Janeiro;RJ;['ciclismo'];['Go', 'JavaScript', 'PHP', 'Swift'];[];1976
f644292d;Pedro;Araújo Dias Gomes;pedroh@example.com;40.0;1984-07-10;Petropolis;RJ;[];['PHP', 'Ruby', 'Java', 'JavaScript'];[];1984
2771ad9f;Ana;Dias;anak2@fastmail.com;20.0;2004-01-01;Volta Redonda;RJ;['fotografia'];['C#'];[('GTA V', 'PlayStation 4'), ('Among Us', 'Mobile'), ('Apex Legends', 'PC'), ('Valorant', 'PC')];2004
5504d3f7;Luís;Barbosa Rocha Gomes;luísy7r@mailservice.com;21.0;2003-03-20;Petropolis;RJ;['futebol', 'fotografia', 'música', 'leitura'];['Ruby'];[('Fortnite', 'PlayStation 4'), ('Apex Legends', 'PC'), ('Overwatch', 'PC')];2003
8bca4c2f;Larissa;Pereira Carvalho;larissaq@example.com;30.0;1994-10-04;Petropolis;RJ;['pintura'];[];[('Fortnite', 'PlayStation 4'), ('League of Legends', 'PC'), ('The Witcher 3', 'Xbox One')];1994
6667eca4;Julia;Costa Carvalho Lima;juliar@mailservice.com;44.0;1980-04-23;Volta Redonda;RJ;[];['JavaScript', 'Go', 'PHP', 'C++', 'Ruby'];[('Valorant', 'PC'), ('League of Legends', 'PC'), ('Apex Legends', 'PC')];1980
